Date,Open,High,Low,Close,Adj Close,Volume
2019-10-07,8805.400391,8855.160156,8774.589844,8798.549805,8798.549805,2940140000
2019-10-08,8733.209961,8769.000000,8683.080078,8684.320313,8684.320313,3356450000
2019-10-09,8732.799805,8781.599609,8722.509766,8753.110352,8753.110352,2726820000
2019-10-10,8737.299805,8825.450195,8732.429688,8805.959961,8805.959961,3217250000
2019-10-11,8866.070313,8966.309570,8866.070313,8904.750000,8904.750000,3580460000
2019-10-14,8888.099609,8905.480469,8873.250000,8878.959961,8878.959961,2557020000
2019-10-15,8886.139648,8975.179688,8886.139648,8947.089844,8947.089844,3340740000
2019-10-16,8937.240234,8971.320313,8930.980469,8956.830078,8956.830078,3222570000
2019-10-17,8969.980469,9004.500000,8966.519531,8980.269531,8980.269531,3115960000
2019-10-18,8979.500000,8982.700195,8931.549805,8940.799805,8940.799805,3264290000
2019-10-21,8969.450195,8990.919922,8956.860352,8986.330078,8986.330078,3271620000
2019-10-22,8990.320313,9038.120117,8959.250000,9008.320313,9008.320313,3523890000
2019-10-23,9010.860352,9025.040039,8992.080078,9018.469727,9018.469727,3392870000
2019-10-24,9036.519531,9047.099609,8981.049805,9008.549805,9008.549805,3692600000
2019-10-25,9004.120117,9061.259766,8999.969727,9052.320313,9052.320313,3370370000
2019-10-28,9070.940430,9104.679688,9050.610352,9054.370117,9054.370117,3521230000
2019-10-29,9036.500000,9065.129883,9027.730469,9046.549805,9046.549805,3589930000
2019-10-30,9039.370117,9047.269531,8984.209961,9037.330078,9037.330078,3776030000
2019-10-31,9030.309570,9030.309570,8952.339844,8994.230469,8994.230469,4139280000
2019-11-01,9021.519531,9103.419922,9021.519531,9103.410156,9103.410156,3930200000
2019-11-04,9128.110352,9159.240234,9128.110352,9157.129883,9157.129883,4146850000
2019-11-05,9162.309570,9199.480469,9155.469727,9161.509766,9161.509766,4486130000
2019-11-06,9165.110352,9165.389648,9131.120117,9161.080078,9161.080078,4458190000
2019-11-07,9184.629883,9231.700195,9174.150391,9186.950195,9186.950195,4144640000
2019-11-08,9181.669922,9183.160156,9147.679688,9177.459961,9177.459961,3499150000
2019-11-11,9145.339844,9169.379883,9126.919922,9161.240234,9161.240234,3035530000
2019-11-12,9163.230469,9180.469727,9137.629883,9150.769531,9150.769531,3466010000
2019-11-13,9130.639648,9179.799805,9123.969727,9165.780273,9165.780273,3509280000
2019-11-14,9159.099609,9181.059570,9142.969727,9173.820313,9173.820313,3276070000
2019-11-15,9192.040039,9222.870117,9184.709961,9222.870117,9222.870117,3335650000
2019-11-18,9215.629883,9238.919922,9212.089844,9233.259766,9233.259766,3436690000
2019-11-19,9242.459961,9245.070313,9191.870117,9202.940430,9202.940430,3590070000
2019-11-20,9184.730469,9190.730469,9125.129883,9161.169922,9161.169922,4034890000
2019-11-21,9161.120117,9163.679688,9128.049805,9141.089844,9141.089844,3720560000
2019-11-22,9166.150391,9187.690430,9144.250000,9183.860352,9183.860352,3226780000
2019-11-25,9196.750000,9251.549805,9196.750000,9250.769531,9250.769531,3511530000
2019-11-26,9253.759766,9279.980469,9243.519531,9271.990234,9271.990234,4595590000
2019-11-27,9277.849609,9278.589844,9252.019531,9276.509766,9276.509766,3033090000
2019-11-29,9260.610352,9268.610352,9227.620117,9233.750000,9233.750000,1743020000
2019-12-02,9244.480469,9244.480469,9145.339844,9145.629883,9145.629883,3268740000
2019-12-03,9071.559570,9071.559570,9010.429688,9050.719727,9050.719727,3653390000
2019-12-04,9083.360352,9137.250000,9082.179688,9104.240234,9104.240234,3695030000
2019-12-05,9125.030273,9126.669922,9078.000000,9111.610352,9111.610352,3355750000
2019-12-06,9159.509766,9214.299805,9159.509766,9201.179688,9201.179688,3479480000
2019-12-09,9191.580078,9200.410156,9167.240234,9168.240234,9168.240234,3345990000
2019-12-10,9164.150391,9181.650391,9134.469727,9154.440430,9154.440430,3343790000
2019-12-11,9153.240234,9179.209961,9135.709961,9174.990234,9174.990234,3252540000
2019-12-12,9174.940430,9277.030273,9157.379883,9230.919922,9230.919922,3990690000
2019-12-13,9227.750000,9276.900391,9209.230469,9241.799805,9241.799805,3736870000
2019-12-16,9266.480469,9317.660156,9266.480469,9299.709961,9299.709961,4051790000
2019-12-17,9291.389648,9331.759766,9290.650391,9309.429688,9309.429688,3837540000
2019-12-18,9320.639648,9320.639648,9274.480469,9290.110352,9290.110352,4014080000
2019-12-19,9295.240234,9325.150391,9294.150391,9321.690430,9321.690430,3720450000
2019-12-20,9381.660156,9386.389648,9339.660156,9368.759766,9368.759766,6454270000
2019-12-23,9382.370117,9396.519531,9371.009766,9374.870117,9374.870117,3060610000
2019-12-24,9378.650391,9379.769531,9359.929688,9371.160156,9371.160156,1296540000
2019-12-26,9381.040039,9404.620117,9375.839844,9403.950195,9403.950195,2160680000
2019-12-27,9417.790039,9424.580078,9396.330078,9409.019531,9409.019531,2428670000
2019-12-30,9407.259766,9407.490234,9341.700195,9359.320313,9359.320313,3013290000
2019-12-31,9347.339844,9389.669922,9339.599609,9386.480469,9386.480469,2893810000
2020-01-02,9419.820313,9447.559570,9388.490234,9446.780273,9446.780273,3458250000
2020-01-03,9354.559570,9403.860352,9341.080078,9385.559570,9385.559570,3461290000
2020-01-06,9327.900391,9391.370117,9320.980469,9390.080078,9390.080078,3674070000
2020-01-07,9373.500000,9398.610352,9353.780273,9372.830078,9372.830078,3420380000
2020-01-08,9367.530273,9467.009766,9361.250000,9424.690430,9424.690430,3720890000
2020-01-09,9451.559570,9487.780273,9451.559570,9481.030273,9481.030273,3638390000
2020-01-10,9489.679688,9495.450195,9436.759766,9447.190430,9447.190430,3212970000
2020-01-13,9456.450195,9492.929688,9452.980469,9492.250000,9492.250000,3456380000
2020-01-14,9494.990234,9551.440430,9494.219727,9524.469727,9524.469727,3665130000
2020-01-15,9528.559570,9603.780273,9525.129883,9573.559570,9573.559570,3716840000
2020-01-16,9606.839844,9657.870117,9606.839844,9656.440430,9656.440430,3535080000
2020-01-17,9648.360352,9679.580078,9640.459961,9674.969727,9674.969727,3698170000
2020-01-21,9649.259766,9668.450195,9600.540039,9618.719727,9618.719727,4105340000
2020-01-22,9642.870117,9661.099609,9603.190430,9606.009766,9606.009766,3619850000
2020-01-23,9586.669922,9652.160156,9540.419922,9647.410156,9647.410156,3764860000
2020-01-24,9658.919922,9672.049805,9552.259766,9603.240234,9603.240234,3707130000
2020-01-27,9471.049805,9494.759766,9445.490234,9456.339844,9456.339844,3823100000
2020-01-28,9483.440430,9545.160156,9477.379883,9512.129883,9512.129883,3526720000
2020-01-29,9532.980469,9581.370117,9526.669922,9527.450195,9527.450195,3584500000
2020-01-30,9488.309570,9558.179688,9432.660156,9550.490234,9550.490234,3787250000
2020-01-31,9527.610352,9527.610352,9339.919922,9370.290039,9370.290039,4527830000
2020-02-03,9394.610352,9471.459961,9394.610352,9406.730469,9406.730469,3757910000
2020-02-04,9483.209961,9542.219727,9483.209961,9506.660156,9506.660156,3995320000
2020-02-05,9574.019531,9649.009766,9565.030273,9638.330078,9638.330078,4117730000
2020-02-06,9663.950195,9670.549805,9617.099609,9644.339844,9644.339844,3868370000
2020-02-07,9618.830078,9619.629883,9569.980469,9581.660156,9581.660156,3730650000
2020-02-10,9560.980469,9623.080078,9559.209961,9622.639648,9622.639648,3450350000
2020-02-11,9659.820313,9687.559570,9625.799805,9636.660156,9636.660156,3760550000
2020-02-12,9669.389648,9717.809570,9669.389648,9710.009766,9710.009766,3926380000
2020-02-13,9680.080078,9727.419922,9652.910156,9700.509766,9700.509766,3498240000
2020-02-14,9703.950195,9712.099609,9650.610352,9682.419922,9682.419922,3398040000
2020-02-18,9662.339844,9685.320313,9629.690430,9661.410156,9661.410156,3746720000
2020-02-19,9672.259766,9699.700195,9666.740234,9680.120117,9680.120117,3600150000
2020-02-20,9673.459961,9712.790039,9598.009766,9679.080078,9679.080078,4007320000
2020-02-21,9650.309570,9650.309570,9567.549805,9602.490234,9602.490234,3899270000
2020-02-24,9436.120117,9436.120117,9266.509766,9296.870117,9296.870117,4842960000
2020-02-25,9320.419922,9346.370117,8973.349609,8996.459961,8996.459961,5591510000
2020-02-26,9025.900391,9114.740234,8901.219727,8909.769531,8909.769531,5478110000
2020-02-27,8785.429688,8877.330078,8527.179688,8530.179688,8530.179688,88735420000
2020-02-28,8374.299805,8423.030273,8167.250000,8394.629883,8394.629883,8563850000
2020-03-02,8445.480469,8746.950195,8355.459961,8746.049805,8746.049805,6376400000
2020-03-03,8758.419922,8896.719727,8461.950195,8520.299805,8520.299805,6355940000
2020-03-04,8644.559570,8903.299805,8621.650391,8900.540039,8900.540039,5035480000
2020-03-05,8748.339844,8748.339844,8517.049805,8575.610352,8575.610352,5575550000
2020-03-06,8389.980469,8537.419922,8289.599609,8503.089844,8503.089844,6552140000
2020-03-09,8294.259766,8294.259766,7777.520020,7842.879883,7842.879883,8423050000
2020-03-10,7993.009766,8172.729980,7772.899902,8172.270020,8172.270020,7635960000
2020-03-11,8019.200195,8019.200195,7637.810059,7720.970215,7720.970215,7374110000
2020-03-12,7399.899902,7436.490234,6911.390137,6924.399902,6924.399902,8829380000
2020-03-13,7149.200195,7520.220215,6927.339844,7519.600098,7519.600098,8258670000
2020-03-16,6943.350098,7130.810059,6582.839844,6596.709961,6596.709961,7781540000
2020-03-17,6690.890137,7097.549805,6535.790039,7059.899902,7059.899902,8358500000
2020-03-18,6785.700195,6807.470215,6323.549805,6638.870117,6638.870117,8755780000
2020-03-19,6615.259766,6768.490234,6390.689941,6621.890137,6621.890137,7946710000
2020-03-20,6669.430176,6766.729980,6281.250000,6304.729980,6304.729980,9044690000
2020-03-23,6261.430176,6261.430176,5973.200195,6100.310059,6100.310059,7402180000
2020-03-24,6449.589844,6811.259766,6428.470215,6797.830078,6797.830078,7547350000
2020-03-25,6880.770020,7269.069824,6731.589844,6975.879883,6975.879883,8285670000
2020-03-26,7056.520020,7434.990234,7040.629883,7412.430176,7412.430176,7753160000
2020-03-27,7199.310059,7388.220215,7076.200195,7165.620117,7165.620117,6194330000
2020-03-30,7189.089844,7388.859863,7126.910156,7365.270020,7365.270020,5746220000
2020-03-31,7316.049805,7383.310059,7198.049805,7221.209961,7221.209961,6568290000
2020-04-01,6968.089844,7028.490234,6797.669922,6866.080078,6866.080078,5947900000
2020-04-02,6806.319824,7032.950195,6801.299805,7014.830078,7014.830078,6454990000
2020-04-03,6924.270020,6981.680176,6767.879883,6828.180176,6828.180176,6087190000
2020-04-06,7054.450195,7434.370117,7054.450195,7392.720215,7392.720215,6391860000
2020-04-07,7648.729980,7681.180176,7376.770020,7380.330078,7380.330078,7040720000
